mode,matrix,procs,run_id,total_time,comm_time,comp_time,gflops
weak,Generated_10000x50,1,1,5.028963e-04,1.081944e-05,4.919863e-04,1.9885
weak,Generated_10000x50,1,2,4.890776e-04,9.894371e-06,4.790926e-04,2.0447
weak,Generated_10000x50,1,3,4.986811e-04,9.899139e-06,4.887104e-04,2.0053
weak,Generated_10000x50,1,4,5.035973e-04,1.080990e-05,4.926729e-04,1.9857
weak,Generated_10000x50,1,5,5.074644e-04,1.070976e-05,4.966688e-04,1.9706
weak,Generated_10000x50,1,6,4.947233e-04,9.679794e-06,4.849672e-04,2.0213
weak,Generated_10000x50,1,7,4.975939e-04,1.008511e-05,4.874372e-04,2.0097
weak,Generated_10000x50,1,8,5.047607e-04,1.056194e-05,4.941177e-04,1.9811
weak,Generated_10000x50,1,9,5.024481e-04,1.079559e-05,4.915810e-04,1.9903
weak,Generated_10000x50,1,10,5.010414e-04,1.064777e-05,4.903173e-04,1.9958
weak,Generated_10000x50,2,1,5.745554e-04,7.900715e-05,5.082607e-04,3.4810
weak,Generated_10000x50,2,2,5.620098e-04,7.095814e-05,4.909611e-04,3.5587
weak,Generated_10000x50,2,3,5.636501e-04,7.210732e-05,4.919100e-04,3.5483
weak,Generated_10000x50,2,4,5.796385e-04,4.978180e-05,5.343676e-04,3.4504
weak,Generated_10000x50,2,5,5.687952e-04,7.699966e-05,4.964876e-04,3.5162
weak,Generated_10000x50,2,6,5.741930e-04,4.753590e-05,5.282116e-04,3.4831
weak,Generated_10000x50,2,7,5.735016e-04,4.755974e-05,5.272770e-04,3.4873
weak,Generated_10000x50,2,8,5.661964e-04,7.458210e-05,4.925776e-04,3.5323
weak,Generated_10000x50,2,9,5.764818e-04,5.582333e-05,5.301905e-04,3.4693
weak,Generated_10000x50,2,10,6.233549e-04,1.147461e-04,5.224657e-04,3.2084
weak,Generated_10000x50,4,1,7.860088e-04,2.613544e-04,5.732393e-04,5.0890
weak,Generated_10000x50,4,2,7.446003e-04,2.199984e-04,5.390930e-04,5.3720
weak,Generated_10000x50,4,3,7.508183e-04,2.266026e-04,5.664825e-04,5.3275
weak,Generated_10000x50,4,4,7.654715e-04,2.403498e-04,5.872059e-04,5.2255
weak,Generated_10000x50,4,5,7.484341e-04,2.261686e-04,5.710173e-04,5.3445
weak,Generated_10000x50,4,6,7.386732e-04,2.186823e-04,5.740356e-04,5.4151
weak,Generated_10000x50,4,7,7.537651e-04,2.345705e-04,5.246162e-04,5.3067
weak,Generated_10000x50,4,8,7.286072e-04,2.062035e-04,5.287361e-04,5.4899
weak,Generated_10000x50,4,9,7.529402e-04,2.334213e-04,5.278158e-04,5.3125
weak,Generated_10000x50,4,10,7.569122e-04,2.352142e-04,5.614233e-04,5.2846
weak,Generated_10000x50,8,1,1.175628e-03,4.868603e-04,8.473015e-04,6.8049
weak,Generated_10000x50,8,2,1.263080e-03,5.712032e-04,8.910799e-04,6.3337
weak,Generated_10000x50,8,3,1.327395e-03,6.493568e-04,8.841658e-04,6.0268
weak,Generated_10000x50,8,4,1.230812e-03,5.218458e-04,8.747816e-04,6.4998
weak,Generated_10000x50,8,5,1.195827e-03,5.315304e-04,8.763838e-04,6.6899
weak,Generated_10000x50,8,6,1.212726e-03,5.232954e-04,8.788776e-04,6.5967
weak,Generated_10000x50,8,7,1.181555e-03,4.560232e-04,7.653332e-04,6.7707
weak,Generated_10000x50,8,8,1.268263e-03,5.910778e-04,8.844519e-04,6.3078
weak,Generated_10000x50,8,9,1.272984e-03,5.988407e-04,8.676481e-04,6.2844
weak,Generated_10000x50,8,10,1.207929e-03,5.448532e-04,8.572769e-04,6.6229
weak,Generated_10000x50,16,1,2.596464e-03,8.717394e-04,1.777925e-03,6.1622
weak,Generated_10000x50,16,2,3.051629e-03,1.480045e-03,2.118206e-03,5.2431
weak,Generated_10000x50,16,3,2.545848e-03,8.676291e-04,1.743569e-03,6.2847
weak,Generated_10000x50,16,4,2.705297e-03,9.786129e-04,1.767659e-03,5.9143
weak,Generated_10000x50,16,5,2.590594e-03,9.152031e-04,1.722302e-03,6.1762
weak,Generated_10000x50,16,6,2.722464e-03,1.181798e-03,1.873150e-03,5.8770
weak,Generated_10000x50,16,7,2.778940e-03,1.236262e-03,1.902390e-03,5.7576
weak,Generated_10000x50,16,8,2.785325e-03,1.247430e-03,1.879559e-03,5.7444
weak,Generated_10000x50,16,9,2.803421e-03,1.248913e-03,1.880159e-03,5.7073
weak,Generated_10000x50,16,10,2.778249e-03,1.240020e-03,1.879120e-03,5.7590
weak,Generated_10000x50,32,1,8.798618e-03,5.711384e-03,6.384439e-03,3.6369
weak,Generated_10000x50,32,2,7.472711e-03,4.321322e-03,4.807520e-03,4.2822
weak,Generated_10000x50,32,3,6.483254e-03,3.488183e-03,4.263592e-03,4.9358
weak,Generated_10000x50,32,4,6.344981e-03,3.129559e-03,3.700538e-03,5.0434
weak,Generated_10000x50,32,5,5.639892e-03,2.495008e-03,3.349171e-03,5.6739
weak,Generated_10000x50,32,6,6.026359e-03,3.097806e-03,3.611226e-03,5.3100
weak,Generated_10000x50,32,7,5.687141e-03,2.742305e-03,3.624954e-03,5.6267
weak,Generated_10000x50,32,8,5.528765e-03,2.369547e-03,3.286071e-03,5.7879
weak,Generated_10000x50,32,9,6.403580e-03,3.216581e-03,3.986216e-03,4.9972
weak,Generated_10000x50,32,10,8.405643e-03,5.273786e-03,5.689225e-03,3.8070
weak,Generated_10000x50,64,1,1.168754e-02,6.658320e-03,5.543408e-03,5.4759
weak,Generated_10000x50,64,2,1.153140e-02,6.708012e-03,6.953673e-03,5.5501
weak,Generated_10000x50,64,3,1.519912e-02,1.037564e-02,9.963536e-03,4.2108
weak,Generated_10000x50,64,4,1.142487e-02,6.345601e-03,5.588880e-03,5.6018
weak,Generated_10000x50,64,5,1.372719e-02,9.006886e-03,7.465925e-03,4.6623
weak,Generated_10000x50,64,6,1.202876e-02,7.274175e-03,5.859575e-03,5.3206
weak,Generated_10000x50,64,7,1.454581e-02,9.698076e-03,9.526534e-03,4.3999
weak,Generated_10000x50,64,8,1.279468e-02,7.901330e-03,7.846203e-03,5.0021
weak,Generated_10000x50,64,9,1.298951e-02,8.143487e-03,8.161964e-03,4.9271
weak,Generated_10000x50,64,10,1.180731e-02,7.382812e-03,5.935574e-03,5.4204
weak,Generated_10000x50,128,1,2.165587e-02,1.527508e-02,9.472656e-03,5.9106
weak,Generated_10000x50,128,2,2.351289e-02,1.733542e-02,1.074389e-02,5.4438
weak,Generated_10000x50,128,3,2.291471e-02,1.684393e-02,9.242597e-03,5.5859
weak,Generated_10000x50,128,4,2.187495e-02,1.571043e-02,8.893209e-03,5.8514
weak,Generated_10000x50,128,5,2.252308e-02,1.628595e-02,1.159326e-02,5.6831
weak,Generated_10000x50,128,6,2.281188e-02,1.649914e-02,8.969145e-03,5.6111
weak,Generated_10000x50,128,7,2.150067e-02,1.553296e-02,9.011750e-03,5.9533
weak,Generated_10000x50,128,8,2.184099e-02,1.563180e-02,1.057458e-02,5.8605
weak,Generated_10000x50,128,9,2.543932e-02,1.941720e-02,1.136617e-02,5.0316
weak,Generated_10000x50,128,10,2.462218e-02,1.851450e-02,1.032276e-02,5.1986
